PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Bagley III,SAC,20,55,29,26,24.9,14.7,5.6,10.7,52.1,0.4,1.4,30.8,3,4.3,69.9,2.5,4.8,7.3,1,1.6,0.6,1,2,28,16,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabari Parker,WAS,24,61,17,44,27.1,14.6,5.8,11.7,49.6,1,3,31.7,2,2.8,72.5,1.2,5.4,6.7,2.4,2.4,0.7,0.4,2.2,27.3,8,0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrence Ross,ORL,28,74,37,37,26.5,14.6,5.3,12.6,42.3,2.6,6.8,37.5,1.4,1.6,85.1,0.3,3.2,3.5,1.6,1.1,0.9,0.4,1.5,23.8,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwyane Wade,MIA,37,64,32,32,25.6,14.4,5.6,12.8,43.8,1.1,3.4,32.9,2.1,3.1,67.8,0.9,2.9,3.8,4.1,2.3,0.8,0.5,1.6,27,3,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Morris,BOS,29,70,41,29,28,14.2,5.2,11.3,45.6,2,5.2,37.8,1.9,2.2,83.4,1,5.2,6.2,1.5,1.3,0.6,0.3,2.4,25.2,5,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Portis,WAS,24,44,13,31,25.7,14.1,5.5,12.3,45,1.4,3.6,39.9,1.6,2.1,78,2.1,5.7,7.8,1.4,1.5,0.6,0.4,3,27.1,11,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Domantas Sabonis,IND,22,68,41,27,24.8,14.1,5.5,9.4,58.8,0.1,0.2,53.3,2.9,4.1,71.4,2.5,6.8,9.3,2.8,2.1,0.7,0.4,3.3,30.7,27,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Adams,OKC,25,73,42,31,33.7,14,6.1,10.1,59.8,0,0,0,1.9,3.7,51.6,4.8,4.7,9.5,1.6,1.7,1.6,0.9,2.6,33.5,27,0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogdan Bogdanovic,SAC,26,62,30,32,27.9,14,5.1,12.4,41.2,1.8,5.3,34.8,1.9,2.4,82.2,0.5,3,3.5,3.8,1.7,1.1,0.2,2.2,26.1,1,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Gasol,TOR,34,72,33,39,31.2,14,5.2,11.5,44.9,1.2,3.5,35,2.5,3.2,76,1,7,8,4.4,2.1,1.1,1.2,2.7,35,19,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudy Gay,SAS,32,62,37,25,26.9,14,5.6,10.9,51,1.1,2.7,41.6,1.8,2.1,82.6,0.9,5.7,6.6,2.6,1.6,0.8,0.5,2.4,28.4,9,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Goran Dragic,MIA,32,28,13,15,25.8,13.9,5,11.8,42.2,1.7,4.7,36.6,2.3,2.9,78,0.3,2.4,2.8,4.1,1.9,0.6,0.1,2.3,23.7,2,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto Porter Jr.,CHI,25,56,25,31,30.1,13.9,5.3,11.5,46.5,1.9,4.6,40.6,1.4,1.7,81.3,1,4.6,5.6,2.1,1.2,1.5,0.6,1.9,28.8,6,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaren Jackson Jr.,MEM,19,58,23,35,26.1,13.8,5.1,10.2,50.6,0.9,2.4,35.9,2.6,3.4,76.6,1.3,3.4,4.7,1.1,1.7,0.9,1.4,3.8,26.3,2,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Smith Jr.,NYK,21,49,19,30,28.8,13.5,5.2,12,43.1,1.2,3.8,32.6,1.9,3,63.5,0.6,2.3,2.9,4.9,2.9,1.3,0.4,2.6,26.6,2,1,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Harris,BKN,27,70,38,32,29.9,13.5,4.9,9.8,49.7,2.3,5,46.6,1.5,1.8,83.2,0.7,3,3.7,2.4,1.6,0.5,0.2,2.4,22.2,0,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,HOU,34,10,4,6,29.4,13.4,4.9,12.1,40.5,2.1,6.4,32.8,1.5,2.2,68.2,0.9,4.5,5.4,0.5,0.8,0.4,0.7,3.2,23.1,0,0,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Taurean Prince,ATL,25,51,18,33,28.1,13.4,4.7,10.5,44.8,2.2,5.6,39.4,1.7,2,84.3,0.4,3.3,3.7,2.2,1.9,1,0.4,2.5,23.2,0,0,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerami Grant,OKC,25,73,43,30,32.5,13.3,5,10,49.9,1.3,3.4,39,2,2.8,70.9,1.2,4.1,5.3,1,0.8,0.8,1.3,2.7,26.6,4,0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Harris,DEN,24,48,34,14,28.7,13.3,4.8,11.3,43,1.5,4.3,35.1,2.1,2.7,79.7,0.8,2.2,3,2.4,1.2,0.9,0.4,2,23.1,0,0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Horford,BOS,32,63,37,26,28.8,13.3,5.6,10.5,53.1,1.1,3.1,35.6,1.1,1.3,81,1.8,4.9,6.7,4.1,1.5,0.9,1.3,1.9,32.4,9,0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Covington,MIN,28,35,20,15,34.4,13.3,4.5,10.3,43.1,2.4,6.4,37.8,1.9,2.5,76.4,0.8,4.7,5.5,1.3,1.3,2.1,1.3,3.6,30.9,2,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Myles Turner,IND,23,68,41,27,28.6,13.2,5.2,10.7,48.3,1,2.6,37.7,1.9,2.6,72.6,1.4,5.8,7.1,1.6,1.4,0.8,2.8,2.7,33.4,15,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Caris LeVert,BKN,24,33,15,18,26.5,13.2,5.1,12.1,41.9,1.1,3.8,28,2,2.8,71.7,0.8,3.1,3.9,3.9,1.8,1,0.4,2,26.1,0,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Enes Kanter,POR,26,60,23,37,23.8,13.1,5.3,9.8,54,0.2,0.5,29,2.3,2.9,80,3.6,6,9.6,1.8,1.7,0.4,0.4,2.4,27.8,27,0,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedi Osman,CLE,23,69,17,52,32.1,13,4.7,11,43,1.7,4.9,35.6,1.8,2.4,77.9,0.5,4.2,4.8,2.6,1.6,0.7,0.2,2.6,23.8,3,0,-8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Brown,BOS,22,70,39,31,25.9,13,5,10.7,46.2,1.3,3.8,34,1.8,2.7,66.8,0.9,3.4,4.3,1.3,1.3,0.9,0.4,2.6,22.9,2,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Millsap,DEN,34,62,45,17,27.2,12.8,4.7,9.6,48.9,0.8,2.3,36.2,2.6,3.6,72.3,2.2,5.1,7.3,2,1.3,1.3,0.8,2.6,29.5,13,0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight Howard,WAS,33,9,4,5,25.5,12.8,4.8,7.7,62.3,0,0,0,3.2,5.3,60.4,2.7,6.6,9.2,0.4,1.8,0.8,0.4,3.8,26.4,3,0,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Justise Winslow,MIA,23,61,29,32,29.7,12.7,4.9,11.3,43.6,1.5,3.8,38,1.4,2.2,62.9,1,4.5,5.4,4.3,2.1,1.1,0.3,2.6,27.6,6,0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Rubio,UTA,28,65,37,28,28.2,12.7,4.3,10.8,40.3,1.2,3.8,31.4,2.8,3.3,85.4,0.5,3.2,3.6,6.2,2.7,1.4,0.2,2.7,28.1,6,0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Knox,NYK,19,67,12,55,28.2,12.6,4.4,12,36.9,1.6,4.7,34.9,2.1,2.8,73.5,0.8,3.5,4.3,1,1.4,0.6,0.3,2.4,20.4,2,0,-8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Brook Lopez,MIL,30,75,56,19,28.6,12.5,4.4,9.7,45.7,2.4,6.4,37.4,1.3,1.5,83.6,0.4,4.4,4.8,1.2,1,0.6,2.2,2.3,27.5,2,0,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Barton,DEN,28,34,23,11,28.2,12.5,4.6,11.2,41.2,1.7,4.7,36,1.6,1.9,81.8,0.9,4.1,5,3,1.6,0.5,0.5,2,24.5,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Ariza,WAS,33,69,22,47,34,12.5,4.3,10.7,39.9,2.1,6.3,33.4,1.9,2.4,79.3,0.7,4.7,5.4,3.7,1.5,1.3,0.3,1.9,27.8,5,0,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Matthews,IND,32,65,27,38,30.5,12.5,4.1,10.3,39.9,2.2,6,37,2,2.5,81.3,0.5,2,2.5,2.3,1.3,0.8,0.3,2.4,20.8,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Thaddeus Young,IND,30,75,45,30,30.7,12.4,5.3,10.3,51.9,0.6,1.8,35.6,1.1,1.6,65.6,2.4,4.1,6.5,2.4,1.5,1.6,0.5,2.4,28.5,10,0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassan Whiteside,MIA,29,65,30,35,23.8,12.3,5.4,9.6,55.5,0,0.2,12.5,1.6,3.5,45.3,3.7,7.8,11.5,0.8,1.4,0.7,1.9,2.7,33.6,34,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Green,WAS,32,74,29,45,27.5,12.3,4.2,8.8,47.6,1.5,4.1,35.8,2.4,2.6,89.3,0.8,3.3,4,1.8,1.3,0.6,0.5,2.1,21.7,2,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Teague,MIN,30,42,23,19,30.1,12.1,4.2,9.9,42.3,0.8,2.5,33.3,2.9,3.6,80.4,0.4,2.1,2.5,8.2,2.3,1,0.4,2.1,29.5,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Cauley-Stein,SAC,25,74,37,37,27.5,12.1,5.2,9.4,55.3,0,0,50,1.7,3.2,53.2,2.3,6.2,8.5,2.5,1.1,1.2,0.6,2.9,30.5,21,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Jae Crowder,UTA,28,74,44,30,27.5,12,4,10.1,39.9,2.2,6.6,33.1,1.8,2.5,70.8,0.8,4,4.8,1.7,1.1,0.9,0.4,2.1,22.9,3,0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
E'Twaun Moore,NOP,30,53,21,32,27.6,11.9,4.8,10,48.1,1.4,3.3,43.2,0.8,1.1,76.3,0.7,1.7,2.4,1.9,1.1,0.8,0.2,2.1,19.3,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Ingles,UTA,31,75,45,30,31.4,11.9,4.3,9.8,44.1,2.2,5.8,38,1.1,1.5,71.4,0.4,3.6,4,5.6,2.3,1.2,0.3,2.3,27.2,5,0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Favors,UTA,27,74,44,30,23.4,11.8,4.8,8.2,58.4,0.2,1,22.1,2.1,3,67.6,2.7,4.7,7.4,1.2,1.1,0.7,1.4,2.2,28,15,0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent Bazemore,ATL,29,61,22,39,24.8,11.8,4.2,10.3,40.7,1.4,4.4,31.1,2,2.7,73.7,0.6,3.3,3.9,2.3,1.9,1.4,0.7,2.6,24.2,0,0,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
JaVale McGee,LAL,31,68,31,37,22,11.7,5.2,8.4,62.3,0,0.1,12.5,1.3,2,64.2,2.5,4.8,7.3,0.6,1.4,0.6,2,2.7,27.9,12,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Augustin,ORL,31,74,37,37,27.9,11.7,3.9,8.2,47,1.6,3.8,42.3,2.4,2.7,87,0.5,1.9,2.4,5.1,1.5,0.6,0,1.4,22.7,2,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryn Forbes,SAS,25,75,43,32,27.8,11.6,4.3,9.7,44.7,2.1,5,41.3,0.9,1,88.9,0.2,2.7,2.9,2,1,0.5,0.1,2,18.8,1,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Beasley,DEN,22,72,49,23,23.6,11.4,4.3,9,48.2,2.1,5,41.3,0.7,0.7,90.6,0.4,2.1,2.5,1.2,0.6,0.7,0.1,1.5,18,0,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Hood,POR,26,65,24,41,26.2,11.3,4.1,9.3,43.7,1.2,3.3,35.8,2,2.3,88.4,0.3,1.8,2.2,1.7,0.7,0.8,0.2,2.1,18.7,0,0,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Kris Dunn,CHI,25,46,14,32,30.2,11.3,4.7,11,42.5,0.7,2.1,35.4,1.2,1.5,79.7,0.4,3.7,4.1,6,2.3,1.5,0.5,3.6,28.7,2,0,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
DeMarre Carroll,BKN,32,61,33,28,25.4,11.3,3.4,8.6,39.8,1.7,4.7,35.6,2.8,3.7,75.7,1,4.2,5.3,1.3,1.1,0.5,0.1,1.6,20.2,3,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Collison,IND,31,72,44,28,28.4,11.2,4,8.6,46.9,1.1,2.5,41.5,2.1,2.5,83.9,0.5,2.7,3.1,6,1.7,1.5,0.1,1.8,27.1,6,0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrett Allen,BKN,20,73,38,35,26.6,11.2,4.3,7.3,58.6,0.1,0.6,14,2.5,3.6,71,2.5,6,8.4,1.4,1.3,0.6,1.5,2.4,28.4,24,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Bullock,LAL,28,61,26,35,29.9,11.1,3.8,9.4,40.8,2.3,6.2,37.1,1.2,1.4,85.5,0.4,2.4,2.7,2.1,1,0.6,0.2,1.7,18.9,0,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Dion Waiters,MIA,27,36,17,19,24.9,11.1,4.2,10,42.1,2.2,5.9,37.6,0.5,1,48.6,0.2,2.6,2.8,2.8,1.5,0.7,0.2,1.5,19.7,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre Jordan,NYK,30,68,25,43,29.8,11.1,4.2,6.5,64.4,0,0,0,2.7,3.8,70.4,3.3,9.9,13.2,2.2,2.2,0.6,1.1,2.4,33.1,42,0,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Jackson,PHX,22,73,17,56,24.3,11,4.2,10.2,40.9,0.8,2.7,31.6,1.8,2.7,67.5,0.8,3.3,4.2,2.2,2.3,0.9,0.7,2.6,21.9,1,0,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Tristan Thompson,CLE,28,39,8,31,28.4,11,4.7,9,52.6,0,0,0,1.5,2.3,65.6,4.1,6.4,10.5,2,1.4,0.7,0.4,2.2,28.6,18,0,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Damyean Dotson,NYK,24,65,9,56,26.8,11,4.1,9.6,42.5,1.7,4.6,37.3,1.1,1.4,73.4,0.5,3.1,3.6,1.7,0.8,0.9,0.1,1.8,20,1,0,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon Hayward,BOS,29,66,40,26,25.6,10.9,3.9,8.7,45,1.1,3.3,33,2,2.4,82.6,0.8,3.6,4.4,3.4,1.5,0.9,0.3,1.4,23.4,2,0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
J.J. Barea,DAL,34,38,20,18,19.8,10.9,4.2,10.1,41.8,1,3.4,29.7,1.4,2.1,70.5,0.3,2.2,2.5,5.6,1.9,0.6,0,1.3,22.2,3,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewayne Dedmon,ATL,29,63,24,39,25.1,10.9,4.1,8.3,49,1.3,3.4,38.1,1.5,1.8,81.4,1.7,5.9,7.5,1.4,1.3,1.1,1.1,3.3,27.3,11,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,PHX,26,57,26,31,26.8,10.9,3.8,9.2,41.3,1.6,4.6,34.6,1.7,2.2,74.8,0.6,2.4,3,2.9,1.4,0.9,0.5,1.7,21.8,0,0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Allonzo Trier,NYK,23,64,13,51,22.8,10.9,3.6,8.1,44.8,0.8,2.1,39.4,2.8,3.5,80.3,0.5,2.6,3.1,1.9,1.8,0.4,0.2,1.8,17.5,2,0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred VanVleet,TOR,25,57,40,17,27.4,10.8,3.8,9.3,40.9,1.7,4.5,37.5,1.5,1.8,84.5,0.4,2.3,2.6,4.7,1.3,0.8,0.2,1.8,23.1,1,0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Belinelli,SAS,33,73,42,31,23.2,10.8,3.7,8.8,41.9,1.9,5.1,38.1,1.5,1.7,90.9,0.2,2.4,2.6,1.7,0.9,0.4,0.1,1.5,17.3,1,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Taj Gibson,MIN,33,70,32,38,24.1,10.8,4.3,7.7,56.6,0.2,0.5,32.4,1.9,2.5,75.7,2.5,4.1,6.5,1.2,1,0.8,0.6,2.7,23.3,13,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Faried,HOU,29,33,17,16,19.9,10.5,4.2,7.2,59.3,0.2,0.6,33.3,1.8,2.8,65.2,2.8,4.1,6.9,0.6,0.9,0.4,0.7,2.1,21.9,13,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Burke,DAL,26,50,12,38,19,10.5,3.9,9.3,42.3,0.9,2.5,35,1.7,2.1,83.7,0.5,1.2,1.7,2.5,0.9,0.6,0.1,1,17.7,1,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Elfrid Payton,NOP,25,36,16,20,29.3,10.5,4.2,9.6,43.5,0.8,2.3,34.5,1.3,1.8,73,1.3,4.1,5.4,7.4,2.6,1.1,0.3,2,29.7,8,6,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Shai Gilgeous-Alexander,LAC,20,75,45,30,26.2,10.4,3.9,8.4,46.8,0.6,1.7,36.5,1.9,2.3,80.7,0.7,2.1,2.7,3.2,1.7,1.1,0.5,2.1,21.7,1,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Len,ATL,25,71,26,45,19.5,10.4,3.9,8,48.9,0.8,2.3,33.5,1.8,2.7,67,2,3.4,5.5,1,1.3,0.4,0.9,2.6,20.9,8,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendell Carter Jr.,CHI,19,44,10,34,25.2,10.3,4.1,8.4,48.5,0.1,0.7,18.8,2,2.5,79.5,2,5,7,1.8,1.5,0.6,1.3,3.5,25.6,7,0,-6.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentavious Caldwell-Pope,LAL,26,75,33,42,23.8,10.3,3.5,8.2,43.1,1.7,4.9,34.7,1.6,1.8,87.6,0.6,2.2,2.8,1.1,0.7,0.9,0.2,1.6,17.7,0,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight Powell,DAL,27,70,27,43,21,10.3,3.7,6.1,60.1,0.5,1.6,31.5,2.4,3.2,76.6,1.7,3.4,5.1,1.4,0.8,0.6,0.6,2.6,21.3,5,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Williams,CHA,32,72,35,37,28.6,10.3,3.7,8.8,42.6,1.9,5.2,36.9,0.9,1.2,76.7,1,4.4,5.5,1.2,0.6,0.9,0.8,2.1,23.3,5,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Morris,DEN,23,73,50,23,24.2,10.3,4.2,8.5,49.4,1.2,2.7,42,0.7,0.9,77.3,0.5,2,2.5,3.7,0.7,0.9,0.1,1.2,20.9,1,0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Saric,MIN,24,73,36,37,24.7,10.3,3.6,8.3,43.5,1.4,3.9,36.9,1.6,1.8,86.5,1.6,4.1,5.7,1.5,1.3,0.6,0.1,2.2,20.1,3,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelly Olynyk,MIA,27,71,36,35,22.7,10.2,3.4,7.2,46.7,1.5,4.1,35.9,2,2.4,81.8,0.9,3.8,4.7,1.9,1.4,0.7,0.4,2.4,20.5,3,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Zeller,CHA,26,49,22,27,25.4,10.1,3.9,7,55.1,0.1,0.4,27.3,2.3,2.9,78.7,2.2,4.6,6.8,2.1,1.3,0.8,0.8,3.3,25,4,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyreke Evans,IND,29,63,38,25,20,10.1,3.7,9.5,39.1,1,3.1,34,1.6,2.2,73.9,0.5,2.3,2.8,2.5,1.7,0.9,0.3,1.7,18.8,1,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Green,TOR,31,73,50,23,28,10,3.6,7.8,45.6,2.4,5.4,44.4,0.5,0.5,82.5,0.8,3.3,4,1.5,0.9,0.9,0.6,2.2,20.8,1,0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
