PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxi Kleber,DAL,27,65,27,38,21,7,2.5,5.5,46,1.1,3.1,35.3,0.8,1,79.4,1.3,3.2,4.5,1,0.8,0.5,1.1,2,18,3,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Kidd-Gilchrist,CHA,25,58,27,31,18.9,7,2.6,5.4,48.2,0.2,0.7,29.3,1.6,2.1,76.9,1.5,2.5,4,0.9,0.7,0.5,0.7,2.5,15.9,1,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
George Hill,MIL,32,53,35,18,21.4,7,2.6,5.9,44.6,0.8,2.4,32,1,1.2,83.6,0.6,1.7,2.4,2.2,0.8,0.9,0.1,1.7,15.4,0,0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Beasley,LAL,30,26,11,15,10.7,7,2.9,5.9,49,0.1,0.7,17.6,1.1,1.5,71.8,0.5,1.8,2.3,1,1,0.3,0.4,1.6,12.3,0,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Ersan Ilyasova,MIL,31,61,46,15,18,6.9,2.6,5.7,45.2,0.9,2.4,38.2,0.9,1,82.8,1.5,2.9,4.4,0.8,0.7,0.5,0.3,2.5,15.2,3,0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Boban Marjanovic,PHI,30,50,27,23,11.3,6.9,2.5,4.2,60.8,0,0.1,25,1.8,2.4,75,1.6,3,4.5,0.8,1.1,0.3,0.5,1.5,14.7,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dante Exum,UTA,23,42,21,21,15.8,6.9,2.4,5.7,41.9,0.4,1.5,29,1.6,2,79.1,0.4,1.2,1.6,2.6,1.2,0.3,0.1,1.6,12.8,1,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
James Ennis III,PHI,28,55,34,21,21.4,6.9,2.4,5.1,48,1,2.7,35.3,1,1.4,74.7,1,2,3,0.6,0.6,0.7,0.4,2.6,14.2,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Selden,CHI,24,69,26,43,18.9,6.8,2.6,6.2,41.1,0.7,2.3,32.7,1,1.3,74.4,0.5,1.7,2.2,1.4,1,0.4,0.2,1.8,12.5,1,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrance Ferguson,OKC,20,67,39,28,26.1,6.8,2.5,5.9,42,1.4,3.9,36.3,0.4,0.6,70,0.4,1.4,1.8,0.9,0.6,0.6,0.2,3.2,12.2,0,0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
JR Smith,CLE,33,11,1,10,20.2,6.7,2.5,7.2,34.2,1.1,3.5,30.8,0.7,0.9,80,0,1.6,1.6,1.9,1,1,0.3,1.7,14.4,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Johnson,NOP,22,63,27,36,18.2,6.7,2.5,6.6,38.3,0.9,3.3,28,0.7,1,77,0.5,2.8,3.3,1.3,1.2,0.9,0.2,1.7,14.8,0,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Robinson,NYK,20,58,13,45,19,6.7,2.8,4.1,68.2,0,0,0,1.1,1.9,58.3,2.6,3.1,5.7,0.6,0.5,0.7,2.4,3.3,23.4,8,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
David Nwaba,CLE,26,44,14,30,19.3,6.6,2.5,5.1,48.4,0.5,1.6,33.3,1.2,1.8,66.3,0.8,2.3,3.1,1.1,0.5,0.7,0.4,2.1,14.7,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Cory Joseph,IND,27,75,45,30,25.3,6.6,2.8,6.7,41.9,0.7,2.1,32.9,0.3,0.5,66.7,0.5,3,3.4,3.8,1,1.1,0.3,1.6,19.7,1,0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Turner,POR,30,66,42,24,22.2,6.6,2.8,6.2,45.1,0.1,0.7,15.2,0.9,1.3,69.7,0.5,3.8,4.3,3.7,1.6,0.5,0.2,1.6,17.9,1,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
MarShon Brooks,MEM,30,29,15,14,13.3,6.6,2.6,5.8,45,0.5,1.9,27.8,0.8,1.1,69.7,0.4,1.1,1.6,0.9,0.7,0.3,0.1,1.1,10.3,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandler Parsons,MEM,30,19,9,10,18.9,6.5,2.5,6.6,37.3,1,3.7,27.1,0.6,0.7,84.6,0.2,2.7,2.8,1.5,1.2,0.8,0.2,1.8,13.8,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Collins,POR,21,69,45,24,17.6,6.5,2.4,5.1,46.5,0.5,1.6,31.8,1.2,1.6,75.2,1.4,2.8,4.2,1,0.9,0.3,0.8,2.4,15.5,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Muscala,LAL,27,58,32,26,19.7,6.5,2.1,5.3,38.4,1.3,3.8,32.7,1.1,1.4,81.5,0.9,2.8,3.7,1.2,0.7,0.3,0.6,2.1,14.5,1,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Jackson,DAL,24,73,32,41,19.2,6.5,2.4,5.6,42.7,1,2.9,33.5,0.7,0.9,78.5,0.5,2,2.5,1.1,0.4,0.4,0.2,1.2,12.4,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Connaughton,MIL,26,54,39,15,19.7,6.5,2.5,5.5,45.6,1.1,3.2,33.1,0.4,0.6,73.3,0.9,3,3.9,2,0.5,0.5,0.4,1.3,16.4,0,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwayne Bacon,CHA,23,35,16,19,15.4,6.4,2.4,5.1,46.9,0.8,1.5,50,0.8,1.2,70.7,0.2,1.9,2.1,1,0.4,0.3,0.1,1.5,11.1,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Miles,MEM,32,53,33,20,16.2,6.4,2.1,5.9,36,1.3,3.8,33,0.9,1.1,82.8,0.2,1.5,1.8,0.7,0.6,0.5,0.3,1.5,11.3,0,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Crawford,PHX,39,59,11,48,17.8,6.4,2.2,6.1,36.1,0.8,2.8,29.1,1.2,1.4,83.1,0.1,1.1,1.2,3.4,1.5,0.5,0.2,1.2,13.3,0,0,-5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirk Nowitzki,DAL,40,43,13,30,14,6.3,2.2,6.1,36.6,1.1,3.6,32,0.7,1,76.2,0.1,2.3,2.4,0.6,0.3,0.2,0.3,1.5,11.4,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Arcidiacono,CHI,25,75,21,54,24.3,6.3,2.2,4.9,44.3,1,2.7,37.3,1,1.2,86.2,0.3,2.3,2.6,3.3,0.8,0.8,0.1,2.1,16.3,0,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyus Jones,MIN,22,60,26,34,21.9,6.3,2.5,6.1,39.9,0.6,1.8,32.1,0.8,1,81.7,0.4,1.6,1.9,4.4,0.7,1.2,0.1,1.1,18.5,2,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Caruso,LAL,25,18,4,14,16.5,6.3,1.9,4.3,44.9,0.7,1.5,44.4,1.7,2.2,79.5,0.7,1.5,2.2,1.6,0.8,0.7,0.4,2.1,13.6,0,0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Omri Casspi,MEM,30,36,14,22,14.5,6.3,2.4,4.5,53.4,0.4,1.2,34.9,1.1,1.6,67.2,0.5,2.7,3.2,0.7,0.6,0.6,0.3,1,13,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Jerebko,GSW,32,66,46,20,16.8,6.3,2.2,4.8,46.3,0.9,2.5,36.3,0.9,1.1,81.3,1,3.1,4.1,1.3,0.6,0.3,0.2,1.8,14.2,1,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathon Simmons,PHI,29,53,24,29,18.9,6.3,2.3,6.2,36.8,0.4,1.8,24.2,1.3,1.8,74.2,0.5,1.7,2.2,2.1,1.2,0.5,0.3,1.7,13.1,0,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Knight,CLE,27,32,17,15,16.7,6.3,2.3,6.2,37.6,1,3.3,30.5,0.6,0.8,80,0.2,1.2,1.3,1.8,0.6,0.5,0,1.4,11.5,0,0,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Payne,CLE,24,40,7,33,17.8,6.3,2.4,5.6,43,0.6,2.1,29.8,0.8,1,80.5,0.3,1.5,1.8,2.7,1.1,0.7,0.2,1.6,14,0,0,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. McConnell,PHI,27,68,42,26,19.6,6.2,2.8,5.4,52.3,0.2,0.6,30.8,0.4,0.5,80,0.4,1.9,2.3,3.5,1.3,1.1,0.2,1.4,17,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo Bamba,ORL,20,47,19,28,16.3,6.2,2.5,5.2,48.1,0.4,1.5,30,0.8,1.3,58.7,1.4,3.6,5,0.8,0.9,0.3,1.4,2.2,17.4,1,0,-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Daniels,PHX,27,45,11,34,13.8,6.2,2.2,5.1,43.2,1.4,3.6,38.4,0.4,0.5,78.3,0.3,1.1,1.4,0.5,0.6,0.5,0.1,1.5,9.9,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevon Looney,GSW,23,72,50,22,19.1,6.2,2.7,4.2,62.8,0,0.1,10,0.9,1.4,61.2,2.5,2.9,5.4,1.6,0.7,0.5,0.7,2.7,18.1,1,0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinn Cook,GSW,26,66,43,23,13.7,6.2,2.5,5.6,44.4,1,2.6,38,0.3,0.3,77.3,0.3,1.8,2.1,1.5,0.6,0.3,0,1.2,11.3,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Juancho Hernangomez,DEN,23,65,43,22,20,6.2,2.1,4.7,44.1,1,2.7,36.5,1,1.3,76.7,1,3,4,0.8,0.6,0.4,0.4,1.4,13.8,4,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Harris,DAL,36,61,25,36,15.2,6.1,1.9,4.9,38.4,0.9,2.8,31.2,1.5,1.9,76.3,0.2,1.4,1.6,1.7,0.8,0.6,0.2,1.9,12,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Kornet,NYK,23,38,6,32,15.1,6.1,2,5.5,35.7,1.3,3.8,35.7,0.8,1,81.1,0.5,1.9,2.4,1,0.5,0.6,0.6,0.8,13.6,0,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaquille Harrison,CHI,25,67,19,48,18.9,6.1,2.3,5.4,43.2,0.3,1.2,25.6,1.1,1.7,66.7,0.4,2.4,2.8,1.9,0.8,1.2,0.3,1.7,16.2,1,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Canaan,MIL,27,30,10,20,20.9,6,2.1,5.5,39,1.1,3.2,35.4,0.6,0.8,79.2,0.2,1.7,1.9,2.8,1.2,0.5,0.1,1.7,13,0,0,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Dekker,WAS,24,42,14,28,16.1,6,2.5,5.2,49.3,0.4,1.1,31.9,0.6,1,58.5,1,2.1,3.2,1,0.5,0.8,0.2,0.9,13.7,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Snell,MIL,27,74,55,19,17.6,6,2.2,4.9,45.2,1.1,2.8,39.7,0.5,0.6,88.1,0.4,1.7,2.1,0.9,0.3,0.4,0.2,1.2,11.4,0,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Nik Stauskas,CLE,25,62,33,29,15.2,6,2,5,40.6,1,2.8,36.4,0.9,1,90,0.3,1.6,1.9,1.3,0.8,0.3,0.1,0.8,10.6,0,0,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Omari Spellman,ATL,21,46,15,31,17.5,5.9,2.1,5.3,40.2,1,2.8,34.4,0.7,1,71.1,1.6,2.7,4.2,1,0.7,0.6,0.5,1.5,15.2,4,0,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenrich Williams,NOP,24,40,15,25,22.5,5.9,2.3,5.9,38.6,1.1,3.2,33.6,0.3,0.4,64.7,1.2,3.6,4.8,1.6,0.8,0.9,0.3,2.1,16.8,1,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson Chandler,LAC,31,44,32,12,23.8,5.9,2.3,5.4,41.8,1.1,3,35.8,0.3,0.4,72.2,1.1,3.2,4.3,1.7,0.9,0.6,0.5,2.4,15.7,0,0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Dellavedova,CLE,28,48,20,28,16.9,5.9,2,5,40.5,0.9,2.7,33.8,0.9,1.1,80.8,0.1,1.5,1.6,3.8,1.4,0.3,0,1.6,13,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Furkan Korkmaz,PHI,21,46,29,17,14.2,5.8,2,5.1,40.2,1,3,33.1,0.8,0.9,83.3,0.3,1.9,2.3,1.1,0.5,0.6,0,1.3,11.7,0,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Theis,BOS,26,60,34,26,13.9,5.8,2.3,4.1,55.3,0.4,1.1,41.3,0.9,1.2,73.6,1.4,2.2,3.5,1.1,0.6,0.3,0.6,2.5,13.9,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Davis,BKN,29,74,38,36,18.1,5.8,2.3,3.8,60.9,0,0,0,1.2,1.9,60.1,2.7,6,8.7,0.8,0.8,0.5,0.4,2.9,19.2,6,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheick Diallo,NOP,22,58,25,33,13.3,5.8,2.5,4.1,60.5,0,0.1,0,0.8,1.1,73.4,1.1,3.8,4.9,0.4,0.7,0.5,0.6,1.6,14.7,8,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerryd Bayless,MIN,30,29,12,17,19.3,5.8,2.3,6.7,34.5,0.9,3,28.7,0.3,0.6,47.1,0.3,1.6,1.9,3.2,1,0.5,0.1,1.6,13.7,2,0,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Iguodala,GSW,35,64,45,19,23.4,5.8,2.2,4.4,50,0.7,2.1,33.6,0.6,1,59.4,0.7,3.1,3.8,3.1,0.7,0.9,0.8,1.5,19.3,0,0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyers Leonard,POR,27,56,32,24,14.3,5.8,2.1,3.9,53.2,0.9,1.9,45.3,0.7,0.9,83.3,0.8,3,3.8,1.2,0.7,0.2,0.2,1.7,12.5,1,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrey Craig,DEN,28,66,46,20,20.3,5.7,2.2,5,43.5,0.8,2.6,30.8,0.6,0.9,67.2,1.2,2.4,3.6,0.9,0.7,0.5,0.6,2.3,14.2,2,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Williams,SAC,24,18,7,11,15.9,5.7,2.2,4.8,46,0.8,2.3,34.1,0.5,0.8,60,0.5,2.6,3.1,0.6,0.4,0.6,0.4,1.9,12.8,0,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Ntilikina,NYK,20,43,9,34,21,5.7,2.2,6.6,33.7,0.8,2.7,28.7,0.5,0.7,76.7,0.3,1.7,2,2.8,1.3,0.7,0.3,2.4,14.1,0,0,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Jodie Meeks,TOR,31,3,2,1,9.6,5.7,2.3,5,46.7,1,2.7,37.5,0,0,0,0,1.3,1.3,0.3,0,0,0.3,0.7,8.8,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
John Henson,CLE,28,14,10,4,13.5,5.6,2.2,4.8,46.3,0.8,2.2,35.5,0.4,0.7,60,1.1,3.9,5.1,1,0.9,0.5,0.8,1.1,16.2,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Yogi Ferrell,SAC,25,63,31,32,14.4,5.6,2,4.8,42.5,0.7,2,35.4,0.8,0.9,89.5,0.2,1.4,1.6,1.9,0.5,0.5,0.1,0.8,11.4,0,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakob Poeltl,SAS,23,70,38,32,16.4,5.5,2.5,3.8,64.2,0,0,0,0.6,1.2,52.4,2.3,3.1,5.4,1.2,0.7,0.3,0.8,1.6,16.7,1,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Scott,PHI,30,72,40,32,16.9,5.5,2,5.1,38.9,1.2,3.1,39.1,0.3,0.4,64.5,0.6,2.9,3.4,0.8,0.6,0.4,0.2,1.9,11.8,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Holiday,IND,22,45,28,17,11.6,5.5,2,4.9,39.8,0.8,2.4,32.4,0.8,0.9,87.8,0.1,1.2,1.3,1.5,0.7,0.4,0.3,1.2,10.5,0,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Chasson Randle,WAS,26,43,18,25,14.8,5.5,1.9,4.3,43.5,0.9,2.2,41.1,0.8,1.2,69.2,0.2,0.9,1.1,1.9,0.9,0.5,0,1.9,10.4,0,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Brewer,SAC,33,23,11,12,15.7,5.4,1.9,4.3,43.9,0.4,1.7,26.3,1.3,1.7,74.4,0.5,1.6,2,1.2,0.5,0.9,0.2,2.1,12.6,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorgui Dieng,MIN,29,68,30,38,12.6,5.4,2.1,4.3,48.6,0.2,0.7,30.4,1.1,1.3,83,1,2.9,3.9,0.8,0.6,0.6,0.5,1.7,14,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Jones,GSW,23,24,15,9,17.1,5.4,2.2,3.1,71.6,0,0,0,1,1.5,64.9,1.3,1.8,3.1,1.2,0.7,0.5,1,2.6,14.9,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Brown,MIL,24,51,41,10,16.2,5.4,2.1,4.6,46,0.8,2.3,35.9,0.4,0.5,66.7,0.5,2.5,3,1.3,0.7,0.4,0.1,1.4,11.8,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Clark,NOP,28,54,22,32,14.1,5.4,2,5.2,39.1,0.9,2.7,31.5,0.5,0.6,90.3,0.2,1.1,1.3,1.4,0.9,0.3,0.1,1.5,9.4,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul Neto,UTA,26,34,23,11,12.7,5.4,2,4.3,47.3,0.6,1.6,33.9,0.7,0.9,86.2,0.1,1.6,1.7,2.5,0.9,0.4,0.1,1.3,11.7,0,0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan McRae,WAS,28,23,8,15,10.6,5.3,2,4.1,50,0.3,0.9,40,0.9,1.1,80.8,0.3,1,1.3,0.5,0.4,0.4,0.2,0.7,9.1,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Abrines,OKC,25,31,21,10,19,5.3,1.8,5.1,35.7,1.3,4.1,32.3,0.4,0.4,92.3,0.2,1.4,1.5,0.6,0.5,0.5,0.2,1.7,9.9,0,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Elie Okobo,PHX,21,47,5,42,17.8,5.3,2,5.3,37.5,0.7,2.4,27.2,0.7,0.9,77.5,0.2,1.7,1.9,2.4,1.3,0.6,0.1,2.1,12.1,0,0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Aron Baynes,BOS,32,45,28,17,15.1,5.3,2,4.2,47.1,0.4,1.2,32.1,1,1.2,83.3,1.6,2.6,4.2,1.1,0.8,0.2,0.6,2.5,13.7,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Rabb,MEM,22,42,17,25,13,5.3,2.2,3.8,57.9,0,0.2,20,0.9,1.2,70.6,1.3,2.4,3.8,0.9,0.7,0.3,0.3,1.6,12.1,3,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Wilson,MIL,23,41,33,8,17.2,5.3,2,4.8,41.5,0.9,2.4,36,0.4,0.9,50,0.9,3.3,4.1,0.9,0.6,0.4,0.5,1.7,13.5,1,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Ellenson,NYK,22,13,2,11,12.9,5.2,1.8,4.8,36.5,0.8,2.2,39.3,0.8,1.1,78.6,0.3,3.3,3.6,1,0.5,0.5,0,1.2,11.9,0,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandler Hutchison,CHI,22,44,10,34,20.3,5.2,2.2,4.8,45.9,0.3,1.1,28,0.5,0.9,60.5,0.7,3.5,4.2,0.8,0.6,0.5,0.1,1.3,12.8,1,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Royce O'Neale,UTA,25,75,45,30,19.8,5.1,1.9,4.1,47.7,0.8,2,39.9,0.4,0.5,75.6,0.3,3.2,3.5,1.5,0.8,0.7,0.3,2,13.6,1,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Poythress,ATL,25,21,7,14,14.5,5.1,1.9,3.9,49.4,0.4,1.1,39.1,0.9,1.4,62.1,1.4,2.2,3.6,0.8,0.6,0.2,0.5,2.2,12,0,0,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Jones,CLE,25,16,3,13,13.4,5.1,1.6,3.9,41.9,0.6,1.8,35.7,1.2,1.7,70.4,0.7,1.4,2.1,0.4,0.5,0.6,0.1,1.7,9.8,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Luc Mbah a Moute,LAC,32,4,2,2,15.3,5,2,4.5,44.4,0.5,1.5,33.3,0.5,1.3,40,0.5,1.3,1.8,0.5,0.5,0.3,0.3,2,8.9,0,0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
