PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,
Jevon Carter,MEM,23,32,6,26,14.2,3.1,1.1,4.2,25.2,0.6,2.3,25,0.4,0.6,72.2,0.3,1.2,1.5,1.8,0.9,0.7,0.3,1.5,9.7,0,0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Bell,GSW,24,61,40,21,11.4,3,1.3,2.6,52.6,0,0,0,0.4,0.6,59.5,0.8,1.9,2.7,1,0.6,0.3,0.7,1.2,10.4,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Boucher,TOR,26,24,17,7,5.2,3,1,2.5,41,0.4,1.3,32.3,0.5,0.6,86.7,0.6,1.1,1.7,0,0.1,0.3,0.9,1,8.3,0,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Delgado,LAC,24,1,0,1,13.6,3,1,4,25,0,0,0,1,2,50,2,2,4,0,0,1,0,2,10.8,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Hamilton,ATL,23,19,7,12,10.7,3,1.2,3.2,38.3,0.4,1.2,34.8,0.2,0.3,50,0.5,1.9,2.5,1.2,0.8,0.3,0.1,1,8,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Robinson,LAC,22,26,15,11,8.8,3,1.2,3.2,36.6,0.5,1.7,32.6,0.2,0.2,66.7,0.1,1,1.1,0.3,0.2,0.3,0.1,1.4,5.7,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmer Fredette,PHX,30,2,0,2,9.4,3,0.5,5.5,9.1,0,3,0,2,2,100,0,1.5,1.5,0.5,1.5,0.5,0,1.5,5.6,0,0,-16,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Sibert,ATL,26,1,1,0,4.2,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhaire Smith,PHI,19,1,0,1,5.6,3,1,1,100,1,1,100,0,0,0,0,1,1,0,0,1,0,0,7.2,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Deonte Burton,OKC,25,28,18,10,8.5,2.9,1.2,2.9,41.3,0.3,0.9,30.8,0.3,0.4,70,0.1,0.9,1,0.3,0.3,0.2,0.3,1.1,5.8,0,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarell Martin,ORL,24,37,17,20,7.7,2.9,1.1,2.5,42.6,0.5,1.3,38.8,0.2,0.2,77.8,0.3,1.4,1.7,0.4,0.3,0.1,0.2,1.1,6,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Anderson,MIA,30,22,5,17,14,2.9,1,3,31.3,0.4,1.7,23.7,0.5,0.7,75,0.7,1.5,2.2,0.9,0.6,0.2,0,1.1,6.8,0,0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Adams,ATL,22,27,11,16,11.1,2.9,1,2.7,37,0.8,2,38.2,0.1,0.1,50,0.3,1.3,1.6,1.7,0.7,0.2,0.1,1.1,7.4,0,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Clark,HOU,24,46,28,18,13.1,2.8,1,2.8,33.6,0.8,2.6,30.3,0.2,0.2,100,0.4,1.9,2.3,0.4,0.1,0.4,0.5,0.9,8.9,0,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Anderson,ATL,25,41,15,26,7.5,2.7,1,2.6,39.6,0.3,1.2,22,0.4,0.5,76.2,0.3,0.9,1.2,0.3,0.4,0.4,0.2,0.9,6.2,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Khyri Thomas,DET,22,23,11,12,8.2,2.7,1,2.8,33.8,0.4,1.5,28.6,0.3,0.5,63.6,0.2,0.7,0.9,0.3,0.2,0.3,0.2,0.9,5.6,0,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuta Watanabe,MEM,24,11,3,8,9.7,2.6,0.9,2.7,33.3,0.2,0.9,20,0.6,0.9,70,0.1,1.7,1.8,0.4,0.4,0.2,0.1,0.4,5.8,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Williams III,BOS,21,29,16,13,8.3,2.6,1.1,1.6,73.3,0,0,0,0.3,0.5,64.3,0.8,1.4,2.2,0.2,0.3,0.3,1.2,1,9.7,0,0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick McCaw,TOR,23,28,16,12,13.5,2.5,0.9,2.1,41.7,0.3,0.9,30.8,0.5,0.5,86.7,0.3,1.4,1.6,1,0.6,0.8,0.1,1.3,8,0,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Morris,MIL,23,4,4,0,7.1,2.5,1,2.5,40,0.3,0.8,33.3,0.3,0.5,50,0,1.3,1.3,1,0.3,0.5,0,0.3,6.8,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Caupain,ORL,23,4,3,1,3.9,2.5,1,2,50,0.5,0.8,66.7,0,0,0,0.3,0.5,0.8,1,0,0.3,0,0,5.7,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Salah Mejri,DAL,32,29,10,19,9.2,2.5,1,2.1,48.3,0.1,0.4,36.4,0.3,0.4,76.9,0.8,1.9,2.7,0.7,0.4,0.3,0.5,1.3,8.7,0,0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
James Nunnally,HOU,28,15,8,7,6.8,2.4,0.8,2.3,35.3,0.5,1.7,32,0.3,0.3,100,0,0.3,0.3,0.5,0.1,0.1,0,0.7,3.6,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Calderon,DET,37,48,21,27,13.1,2.4,0.9,2.5,37.8,0.3,1.2,25,0.2,0.2,81.8,0.2,1,1.3,2.4,0.7,0.3,0.1,1.3,7.9,0,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Duncan Robinson,MIA,24,11,4,7,7.6,2.3,0.8,2,40.9,0.5,1.6,33.3,0.1,0.2,50,0,1,1,0.1,0.1,0.2,0,0.4,4.1,0,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Young,DEN,33,4,3,1,9.3,2.3,0.8,2.3,33.3,0.8,2,37.5,0,0,0,0,0.3,0.3,0.5,0.5,0,0.3,1,3.6,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairis Bertans,NOP,29,6,1,5,9.8,2.2,0.8,2.8,29.4,0.5,1.8,27.3,0,0,0,0.3,0.5,0.8,0.3,0.3,0,0,0.5,3.3,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerschon Yabusele,BOS,23,37,24,13,5.8,2.1,0.8,1.8,44.6,0.2,0.6,26.1,0.4,0.5,75,0.5,0.7,1.2,0.4,0.4,0.2,0.2,0.8,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenzo Brown,TOR,28,26,20,6,8.2,2.1,0.9,2.7,32.4,0.2,1.1,21.4,0.1,0.1,100,0.2,1,1.2,1.1,0.6,0.5,0.2,0.8,6.5,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Anfernee Simons,POR,19,16,14,2,5,2.1,0.8,2.2,37.1,0.1,0.8,15.4,0.3,0.6,50,0,0.4,0.4,0.3,0.5,0,0,0.4,2.5,0,0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmond Sumner,IND,23,20,13,7,8.7,2.1,0.8,2.5,32.7,0.2,1,20,0.3,0.6,41.7,0.4,0.7,1,0.5,0.4,0.5,0.3,1.1,5.6,0,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Williams,MIN,29,13,4,9,7,2,0.9,2.1,44.4,0.2,0.9,16.7,0,0,0,0.1,0.3,0.4,0.8,0.3,0.2,0,1,4.1,0,0,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Stephens,MEM,28,1,0,1,6.7,2,1,2,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
Dzanan Musa,BKN,19,8,3,5,4.2,2,1,2.5,40,0,1.1,0,0,0.3,0,0.1,0.4,0.5,0.1,0.5,0.3,0,0.1,3,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Chealey,CHA,23,1,0,1,7.8,2,1,3,33.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.5,0,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalin Lucas,DET,29,1,0,1,5.6,2,0,1,0,0,1,0,2,2,100,0,3,3,1,0,0,0,1,7.1,0,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonnie Walker IV,SAS,20,11,7,4,6.7,2,0.6,2.5,25,0.2,0.5,33.3,0.5,0.5,100,0,1.1,1.1,0.4,0.4,0.5,0.2,0.5,5.7,0,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Skal Labissiere,POR,23,19,9,10,6.8,2,0.7,1.6,45.2,0.2,0.6,36.4,0.3,0.7,46.2,0.3,1.1,1.4,0.5,0.5,0.1,0.2,1.2,4.8,0,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhou Qi,HOU,23,1,0,1,1,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Eubanks,SAS,22,20,11,9,4.8,2,0.7,1.1,63.6,0,0,0,0.6,0.7,84.6,0.3,1.1,1.4,0.4,0.3,0.1,0.2,0.5,4.5,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Swanigan,SAC,21,18,10,8,8.1,1.9,0.8,2.4,31.8,0.1,0.3,20,0.3,0.4,85.7,0.7,2.2,2.9,0.4,0.9,0.2,0,1.2,5.8,1,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Terrell,MIN,24,11,4,7,6.9,1.9,0.7,2.5,29.6,0.4,1.1,33.3,0.1,0.2,50,0.1,0.3,0.4,0.6,0.7,0.3,0.1,0.8,3.7,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Hartenstein,HOU,20,28,15,13,7.9,1.9,0.7,1.5,48.8,0.1,0.2,33.3,0.4,0.5,78.6,0.8,0.9,1.7,0.5,0.5,0.3,0.4,2,6.3,0,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Wade Baldwin IV,POR,22,16,10,6,5.9,1.9,0.6,2.1,30.3,0.1,0.6,22.2,0.5,0.7,72.7,0.1,0.8,0.9,0.8,0.9,0.1,0.1,0.7,3.8,0,0,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekpe Udoh,UTA,31,44,30,14,5.3,1.8,0.8,1.2,68.6,0,0,0,0.3,0.4,64.7,0.4,0.8,1.3,0.4,0.2,0.1,0.5,0.6,5.6,0,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy Pondexter,SAS,31,49,26,23,5.5,1.8,0.6,1.1,49.1,0.1,0.4,33.3,0.6,0.8,78.9,0.2,0.7,0.9,0.5,0.2,0.2,0,0.5,4.1,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Loyd,TOR,25,9,8,1,4.1,1.8,0.6,1.3,41.7,0.2,0.7,33.3,0.4,0.6,80,0.1,0.7,0.8,0.2,0.2,0,0,0.6,2.8,0,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimezie Metu,SAS,22,29,14,15,5,1.8,0.7,2,32.8,0,0.1,0,0.4,0.6,76.5,0.3,0.9,1.2,0.4,0.5,0.2,0.1,0.5,4.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Moreland,TOR,27,4,2,2,9,1.8,0.8,1.5,50,0.3,0.3,100,0,0,0,0.8,3.3,4,1,0.8,0,0,2.3,7.3,0,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Trent Jr.,POR,20,12,11,1,4.3,1.8,0.7,2.2,30.8,0.3,1.1,30.8,0.1,0.3,25,0,0.6,0.6,0.1,0.2,0,0.1,0.3,2.7,0,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy Acy,PHX,28,10,2,8,12.3,1.7,0.4,1.8,22.2,0.2,1.5,13.3,0.7,1,70,0.3,2.2,2.5,0.8,0.4,0.1,0.4,2.4,7,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Deng Adel,CLE,22,15,4,11,12.1,1.7,0.6,2.2,27.3,0.3,1.4,23.8,0.1,0.1,100,0.1,1,1.1,0.3,0.3,0.1,0.3,0.8,4.1,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Patton,PHI,21,3,2,1,6.9,1.7,0.7,2.3,28.6,0,0.7,0,0.3,0.7,50,0.7,1.3,2,1,0,0.7,0,1.7,7.6,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevon Duval,HOU,20,3,2,1,1.9,1.7,0.7,1,66.7,0.3,0.3,100,0,0,0,0,0.3,0.3,0.7,0,0,0,0,3.1,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Welsh,DEN,23,11,8,3,3.3,1.6,0.6,1.2,53.8,0.3,0.6,42.9,0.1,0.2,50,0,0.4,0.4,0.5,0.1,0,0,0.3,2.7,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Spalding,PHX,22,8,1,7,7.9,1.6,0.8,1.5,50,0,0.1,0,0.1,0.4,33.3,0.4,2,2.4,0.4,0.6,0.1,0.4,1.5,5.9,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Haywood Highsmith,PHI,22,2,1,1,4.4,1.5,0.5,1,50,0.5,1,50,0,0,0,0,0.5,0.5,1,0,0,0,0,3.6,0,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent Edwards,HOU,22,2,1,1,7.9,1.5,0.5,2,25,0.5,2,25,0,0,0,0.5,0.5,1,0,0,0,0,0,2.7,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Melvin Frazier Jr.,ORL,22,9,7,2,4.4,1.4,0.7,2,33.3,0,0.4,0,0.1,0.2,50,0.3,0.2,0.6,0.1,0.1,0.1,0,0.7,2.5,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Goodwin,DEN,23,16,10,6,3.6,1.4,0.4,1.4,26.1,0.1,0.4,33.3,0.6,0.7,81.8,0.1,0.1,0.2,0.9,0.2,0,0,0.4,2.8,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
PJ Dozier,BOS,22,5,4,1,2.7,1.4,0.6,1.4,42.9,0.2,0.4,50,0,0,0,0.4,0.8,1.2,0,0,0,0,0.2,2.8,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Richardson,TOR,23,22,16,6,4.7,1.4,0.4,1.3,31,0.4,1.1,32,0.2,0.2,80,0.1,0.5,0.6,0,0.4,0,0,0.6,1.8,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Amile Jefferson,ORL,25,8,7,1,3.9,1.3,0.4,0.9,42.9,0,0,0,0.5,0.5,100,0.4,0.9,1.3,0.1,0,0.1,0.1,0.5,3.7,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Rawle Alkins,CHI,21,4,2,2,5.6,1.3,0.3,1.5,16.7,0.3,0.5,50,0.5,0.5,100,1,0.5,1.5,0.8,0.8,0.3,0,0.5,4.2,0,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Washburn,MEM,27,11,4,7,12.9,1.2,0.4,2.5,14.8,0.2,1.3,14.3,0.3,0.4,75,0.6,1.8,2.5,0.4,0.4,0.5,0,0.6,5.7,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonzie Colson,MIL,23,3,3,0,1.9,1,0.3,1,33.3,0.3,0.7,50,0,0,0,0.3,0.3,0.7,0.3,0,0,0,0,2.3,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVaughn Akoon-Purcell,DEN,25,7,7,0,3.1,1,0.4,1.4,30,0,0.6,0,0.1,0.3,50,0.1,0.4,0.6,0.9,0.3,0.3,0,0.6,3.5,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Deyonta Davis,ATL,22,2,1,1,3.5,1,0,0,0,0,0,0,1,1,100,0.5,0,0.5,0,0,0,0,0.5,1.6,0,0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Hicks,NYK,24,1,0,1,3.6,1,0,0,0,0,0,0,1,2,50,0,0,0,1,0,0,0,0,2.5,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Kostas Antetokounmpo,DAL,21,2,1,1,5.3,1,0,1.5,0,0,0,0,1,2,50,0,0.5,0.5,0,0.5,1,0,0,4.1,0,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrence Jones,HOU,27,2,2,0,2.6,1,0.5,2,25,0,1,0,0,0.5,0,0,2,2,0,0.5,0,0,0.5,2.9,0,0,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Baker,WAS,25,15,4,11,10.1,0.9,0.3,1.3,20,0.1,0.9,7.7,0.3,0.4,83.3,0.1,0.7,0.7,1,0.3,0.4,0.1,1.2,4.4,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindarius Thornwell,LAC,24,57,34,23,4.8,0.9,0.3,0.8,33.3,0.1,0.3,20,0.3,0.5,69.2,0.1,0.6,0.7,0.3,0.3,0.2,0.1,0.6,2.7,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Lydon,DEN,22,24,20,4,3.7,0.9,0.3,0.7,47.1,0.2,0.4,40,0,0.1,33.3,0.3,0.5,0.7,0.2,0.2,0.1,0,0.4,2.1,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawun Evans,OKC,22,7,3,4,9.1,0.9,0.4,1.9,23.1,0,0.3,0,0,0,0,0.1,1.6,1.7,1.4,0.9,0.4,0,1.1,5.5,0,0,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarred Vanderbilt,DEN,19,12,9,3,3.1,0.8,0.3,0.8,40,0,0.1,0,0.2,0.4,40,0.4,0.8,1.3,0.2,0.3,0.3,0.1,0.3,3.3,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Daryl Macon,DAL,23,5,2,3,2.6,0.8,0.4,0.6,66.7,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1.2,0,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Bonga,LAL,19,15,3,12,3.8,0.8,0.2,1.1,18.8,0,0.3,0,0.4,0.6,66.7,0.3,0.7,0.9,0.5,0.3,0.3,0.1,0.3,3.5,0,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Evans,GSW,21,27,19,8,5,0.8,0.4,1.2,30.3,0,0.3,12.5,0,0,0,0.1,0.4,0.6,0.6,0.3,0,0,0.8,2.3,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Cavanaugh,UTA,25,8,5,3,2.3,0.8,0.3,0.8,33.3,0,0.4,0,0.3,0.3,100,0.1,0.4,0.5,0,0.1,0,0,0,1.2,0,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Udonis Haslem,MIA,38,8,7,1,4.3,0.8,0.4,1.1,33.3,0,0.5,0,0,0,0,0.1,1.4,1.5,0,0.3,0,0,0.5,2.3,0,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Naz Mitrou-Long,UTA,25,11,7,4,4.1,0.6,0.3,1,27.3,0.1,0.6,14.3,0,0,0,0,0.2,0.2,0.5,0.3,0,0,0.5,1.3,0,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Davon Reed,IND,23,8,3,5,2.7,0.6,0.3,0.5,50,0.1,0.1,100,0,0,0,0.1,0.1,0.3,0.3,0.1,0,0,0.1,1.2,0,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Alize Johnson,IND,22,12,8,4,3,0.5,0.2,0.8,20,0.1,0.2,50,0.1,0.3,25,0.1,0.6,0.7,0,0,0,0.1,0.3,1.6,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Ingram,LAL,33,4,1,3,3.7,0,0,1.5,0,0,0.8,0,0,0,0,0.3,0.3,0.5,0,0.3,0.3,0,0,1.1,0,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Chiozza,HOU,23,2,1,1,3,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Donte Grantham,OKC,24,3,2,1,0.8,0,0,0.7,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
George King,PHX,25,1,0,1,5.9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-9,,,,,,,,,,,,,,,,,,,,,,,,,,
Ike Anigbogu,IND,20,3,2,1,2.1,0,0,1,0,0,0,0,0,0,0,0.3,0.7,1,0.3,0.3,0,0.3,0,2.4,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
John Holland,CLE,30,1,0,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobi Simmons,CLE,21,1,0,1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Okaro White,WAS,26,3,2,1,2.1,0,0,0.7,0,0,0.7,0,0,0,0,0.3,0.3,0.7,0,0,0,0,0,0.8,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Bradley,UTA,21,1,1,0,8.6,0,0,3,0,0,0,0,0,0,0,2,1,3,0,1,0,0,1,2.6,0,0,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Davis,OKC,21,1,1,0,0.9,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Ulis,CHI,23,1,0,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Zeller,ATL,29,2,1,1,5.3,0,0,1,0,0,0.5,0,0,0,0,1,2,3,0.5,0,0,0,2,4.4,0,0,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Lofton,DET,26,1,1,0,3.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,